kind,hypothesis,factor,rows,rows_above_floor,largest_ratio,verdict,evidence
pitch_damping_scaling,"printed (k = 1)",1,80,0,8.941E-001,PRINTED - CONSISTENT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
pitch_damping_scaling,"sign flip of CMMQ*QB (k = -1)",-1,80,80,1.544E+004,RULED OUT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
pitch_damping_scaling,"no pitch-rate term (k = 0; e.g. QB never updated)",0,80,80,7.719E+003,RULED OUT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
pitch_damping_scaling,"QB = Q*CWING/VTRFPS, no factor 2 (k = 2)",2,80,79,7.719E+003,RULED OUT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
pitch_damping_scaling,"QB with 4V (k = 1/2)",0.5,80,80,3.859E+003,RULED OUT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
pitch_damping_scaling,"QB normalized by span, not chord (k = b/c)",2.6850690087829361,80,80,1.301E+004,RULED OUT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
pitch_damping_scaling,"Q in deg/s (k = 57.3)",57.2957795131,80,80,4.345E+005,RULED OUT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
pitch_damping_scaling,"Q in rad/s but CMMQ per degree (k = 1/57.3)",0.017453292519937911,80,80,7.584E+003,RULED OUT,"turning rows alpha 8.30-10.59 deg vs WP-3A print floor"
evidence,"AUTO's Jacobian froze the coefficients (no aerodynamic rate derivatives)",,,,,RULED OUT,"Baumann FUNC (PDF pp.93-94) calls COEFF before FUNX inside the DFDU loop for every +/-DX; Davison 'Revised 13 Aug 89 - Moved all calls to subroutine COEFF to the start of subroutine FUNX' (PDF p.91): both printed drivers re-evaluate CMM, CMMQ*QB included, at every perturbed state"
evidence,"COMMON /SEIZE/ storage slip (CMM never reaching FUNX)",,,,,RULED OUT,"the text layer reads 'CLM,CCMM,CNM'; the page image (Baumann PDF p.99) reads COMMON /SEIZE/ CX,CY,CZ,CLM,CMM,CNM - an OCR artifact; the pitching moment balances at every printed equilibrium (WP-3A)"
evidence,"Different state indexing inside COEFF (QB built from another state)",,,,,RULED OUT,"COEFF sets AL=U(1), P=U(3), Q=U(4), R=U(5), VTRFPS=U(8)*1000 (Baumann PDF p.100) and QB=(Q*CWING)/(2*VTRFPS) (p.106); RAL=AL/DEGRAD in both listings"
evidence,"Different flight condition in Davison's diagram",,,,,RULED OUT,"Davison Figure 7 (12-state, CAS off; PDF p.43) read on the page image: alpha 10.0 at elevator -5.9 deg, ~17.4 at -15.2, Hopf ~21 at -19.8 - the same equilibria as Table VII and WP-3B"
evidence,"AUTO executed a coefficient routine other than the printed one",,,,,UNRESOLVED (supported by indirect evidence),"every public printing of CMMQ agrees (Baumann PDF p.114, Davison App. B p.116, App. C p.147) and the nonlinear dynamics confirm the instability they imply; yet both executed stability presentations - Baumann Figures C-1..C-8 and Davison Figure 7 ('up to 20 degrees ... can be flown with impunity') - draw alpha 11-14 deg stable, and Table VII shows AUTO special points at every fold and the fork but none at the located Hopf between 8 and 9. Davison's listing notes 'a merger of a later subroutine to an earlier version' (PDF p.101), and McDonnell 1990 refit Cmq against the aero database (repository lineage record). The executed CMMQ itself is not public"
evidence,"Table VII's caption is a loose label for the printed branch segments",,,,,SUPPORTED,"Table VII prints the fold-bounded segments 125-135 and 183-193, whose saddle instability is forced by the stabilator extrema whatever the coefficients (WP-3D; confirmed nonlinearly here), and the neutral pitchfork 165"
evidence,"Baumann's figures draw the fold saddles solid",,,,,UNRESOLVED,"Figure C-7's turning loop is solid throughout; a stabilator extremum along a smooth equilibrium branch forces a real eigenvalue through zero, so one side of each fold must be unstable in ANY smooth model with these equilibria. No source statement explains the line style there"
